Total_Particles,Mean_Area_um2
33,1.326852333333333

Particle_ID,Area_um2
1,0.9876569999999999
2,3.5316219999999996
3,0.7482249999999999
4,1.107373
5,0.628509
6,0.688367
7,0.5087929999999999
8,1.1373019999999998
9,0.9277989999999999
10,0.5686509999999999
11,1.4964499999999998
12,0.5686509999999999
13,0.5387219999999999
14,2.514036
15,2.2746039999999996
16,0.8080829999999999
17,0.5686509999999999
18,2.334462
19,0.5686509999999999
20,0.5087929999999999
21,1.466521
22,1.945385
23,0.5387219999999999
24,0.628509
25,0.5387219999999999
26,1.376734
27,0.658438
28,4.968214
29,0.5985799999999999
30,1.676024
31,4.279846999999999
32,0.89787
33,1.1971599999999998
